GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	BY_ADJ_P
HC709	DQB1_201	0.24261401761833604	0.0477866473229695	5.0770253032947	3.8338983170843206e-07	18485.3036682367	0.0005368673010967395
HC654	DRB3_101	0.205760721056268	0.0405461881396315	5.0747241725332195	3.88058496548129e-07	23424.298175760898	0.0005428834100301828
cancer1003	B_4001	-0.11283324940810001	0.0222430577780896	-5.07274002224845	3.92128058317671e-07	162001.727545637	0.0005480506572781147
HC49	DPA1_103	-0.0637776270814165	0.0125796382049536	-5.069909487246	3.98004937170063e-07	159929.64064440198	0.0005557315499682967
HC810	DQA1_201	-0.28005609190405395	0.0552941055930749	-5.064845319410121	4.08732093801661e-07	20306.0778666089	0.0005701636710366412
cancer1060	B_1402	0.15610757195481303	0.0308260621050677	5.06414252403485	4.1024265444348204e-07	148970.14933279902	0.0005717237340362231
HC221	C_701	0.0636443360233205	0.0125723841326163	5.06223285512008	4.1437447467048603e-07	162188.438847116	0.0005769303764210902
HC648	DRB4_101	-0.29450298654525897	0.058188907615349006	-5.06115338153513	4.16727790416914e-07	31303.0076428931	0.0005796532472160892
HC17	DRB1_301	0.32722946092617	0.0647206495171121	5.05602869204288	4.2807695810792897e-07	10701.9325143585	0.0005948719021279524
HC39	DQA1_101	0.34702568784082205	0.0686489387113947	5.05507724306918	4.3021660969684297e-07	9705.65437599849	0.0005972758663322622
HC534	DRB1_1301	-0.16277907983153303	0.032251218470969	-5.0472226337140995	4.4827887386256e-07	103934.292613934	0.0006217598135502929
HC645	DQA1_102	-0.14006115953937198	0.0277586737035956	-5.04567188745871	4.5193039178426705e-07	47662.723860858496	0.0006262286038702612
HC530	B_4001	0.142245438219291	0.0282311751895441	5.038594293870349	4.6896336539189797e-07	96512.6168996309	0.0006492136447634362
HC1213	B_1302	0.6982060340645981	0.138648621684595	5.035794987222539	4.758696651306021e-07	10255.5348360814	0.000658149419614033
HC243	B_801	-0.0867814173804811	0.0172424643982597	-5.03300545537099	4.82849380174085e-07	109556.810262391	0.0006671696950738602
HC1023	DQA1_301	0.0946008724320624	0.0187968314030485	5.03280954133153	4.833432718875321e-07	79474.8290990121	0.0006672196866209643
HC1329	DPB1_401	0.158051606954531	0.0314061090870614	5.0325115574296	4.840954120232921e-07	21580.851247271203	0.0006676257391806336
HC49	DRB3_9901	0.0533337709220228	0.010598348760571998	5.03227173655912	4.84701562757179e-07	158234.18467613	0.0006678298775282827
HC1242	DQA1_102	-0.276859702739195	0.0550330884220257	-5.0307862174856295	4.88472576163859e-07	16738.152494868	0.0006723901131338259
HC269	DQB1_501	0.055917362077678	0.0111164082246666	5.03016450525817	4.90059187435232e-07	247887.61733212	0.0006739377176054238
HC1132	DQB1_503	-0.6142286492370749	0.12234488373782801	-5.02046861684303	5.15455725270393e-07	32696.631482747798	0.000707528508315227
HC1211	DQB1_501	0.377130882017567	0.0751161571988665	5.02063598673094	5.150067567445539e-07	9051.02586690953	0.000707528508315227
HC303	DPB1_402	-0.275124153411786	0.0548104204937399	-5.01955925412412	5.17901688120774e-07	27045.8500101179	0.0007099587384881968
HC49	A_2902	0.118056947919828	0.02352007485605	5.0194120827579	5.182985938139461e-07	160521.015165157	0.0007099587384881968
HC652	C_701	0.0771770745605817	0.0153761611754609	5.01926805266258	5.18687311812605e-07	116883.521518896	0.0007099587384881968
